StudentNo,学号,test_Score,Score1,Time1,Score2,Time2,Score3,Time3,Score4,Time4,Score5,Time5,Score6,Time6,Score7,Time7,Score8,Time8,Score9,Time9,Score10,Time10,correct_score,performance_score,rule_score,final_score,commit_times,commit_details
221801130,1130,100,10,288,10,315,10,329,10,252,10,330,10,326,10,202,10,277,10,328,10,359,30,10,3,43,24,"{""11"":""优化代码格式"",""22"":""代码规范\n"",""12"":""使用命令行\n"",""23"":""读取文件功能\n"",""13"":""对WordCount进行代码格式优化并使统计结果输出到文件里\n"",""14"":""将输出十个频率最高单词功能封装分离\n"",""15"":""将统计单词功能封装分离\n"",""16"":""将统计字符和统计行数功能封装分离到Lib\n"",""17"":""新增一个Core模块\n"",""18"":""新增统计文件中各单词的出现次数（频率最高的10个）（\n"",""19"":""新增行数统计功能\n"",""0"":""修复输入文件行数不足十行会抛出异常的bug"",""1"":""Update Lib.java"",""2"":""修复了下载到本地代码格式发生变化的bug"",""3"":""修复了下载到本地后代码格式变化的bug"",""4"":""修改getSortedList函数"",""5"":""修改writeFile函数"",""6"":""Create README.md"",""7"":""改进统计行数的性能"",""8"":""Update Lib.java"",""9"":""修改单词数和行数顺序相反的bug"",""20"":""更进字符统计功能和新增单词统计功能\n"",""10"":""重新优化代码格式"",""21"":""完成统计字符功能\n""}"
221801230,1230,100,10,261,10,296,10,314,10,211,10,310,10,321,10,173,10,232,10,327,10,335,30,10,3,43,15,"{""11"":""字符数统计charNumCount\n"",""12"":""添加readFile函数\n"",""13"":""从命令行参数获取文件名,创建Lib处理类\n"",""14"":""新建项目\n"",""0"":""更新部分细节"",""1"":""Edit README.md"",""2"":""代码规范"",""3"":""修复word排序错误的bug\n"",""4"":""修复word数错误的bug\n"",""5"":""终版\n"",""6"":""输出函数writeFile\n"",""7"":""对单词排序\n"",""8"":""用Map存取单词频数\n"",""9"":""统计单词数wordNumCount\n"",""10"":""行数统计lineNumCount\n""}"
221801334,1334,100,10,203,10,216,10,232,10,200,10,233,10,236,10,170,10,200,10,230,10,247,30,10,3,43,23,"{""11"":""refactor: 版本v1.1多线程优化完成\n"",""22"":""feat: 实现命令行输入以及输入的合法性判断\n"",""12"":""refactor: 优化有效行数统计\n\n加入线程池\n"",""13"":""refactor: 优化字符数统计\n\n文件中只有ascii字符，直接输出内容的长度即可\n"",""14"":""refactor: 优化文件输入输出\n\n添加mmap读取文件，优化缓冲区初始大小\n"",""15"":""fix: 修复一些小bug，v1.1\n"",""16"":""feat: 实现需求的所有功能，v1.0\n\n整合统计字符数、单词数、行数、top10单词，并输出到文件\n"",""17"":""feat: 实现计算文本top10单词及个数\n\n使用HashMap记录每一个单词的个数，然后转为List排序\n"",""18"":""feat: 实现计算文本单词数\n\n单线程遍历文本\n"",""19"":""feat: 实现计算文本有效行数\n\n单线程，正则表达式\n"",""0"":""fix: 修复了一些bug"",""1"":""doc: 更新README文档"",""2"":""fix: 修复一些bug\n"",""3"":""docs: 更新代码规范文档\n"",""4"":""docs: 添加项目的信息，更新readme文件\n"",""5"":""fix: 修复一些bug\n"",""6"":""refactor: 优化有效行数的计算\n\n去掉正则表达式的使用\n"",""7"":""refactor: 多线程优化\n\n有效行数、map统计进行多线程优化\n"",""8"":""fix: 修复一些bug\n"",""9"":""refactor: 正则表达式优化\n\n对行数、单词正则表达式提取进行优化\n"",""20"":""feat: 实现文本字符数计算\n\n单线程遍历文本\n"",""10"":""feat: 增加字典树\n\n使用字典树统计单词词频\n"",""21"":""feat: 实现文件输入输出\n\n使用缓存流，缓存空间为8192字节\n""}"
221801215,1215,100,10,186,10,204,10,205,10,155,10,203,10,203,10,125,10,169,10,215,10,236,30,10,3,43,14,"{""11"":"" - 添加单词校验功能\n * 新建WordProcessor类处理文本单词，包含单词校验函数\n"",""12"":"" - 统计文章的有效行数\n * 新增EffectiveLineCounter类统计行数\n *修改文件读写编码\n"",""13"":""  实现文件字符数量统计\n  *添加文件的ASCII字符数量统计功能\n  *修改项目文件结构\n"",""0"":"" - 完善学号文件夹下的README.md\n"",""1"":"" - 性能优化修改\n * StringBuffer.append改为StringBuilder.append\n * InputStream.read改为BufferedReader.read\n * TreeMap改为HashMap\n * 修复main函数最后一行不统计的bug\n"",""2"":"" - 单元测试中做的修改完善\n"",""3"":"" - 文件输入处理\n"",""4"":"" - 结果文件输出实现\n"",""5"":"" - WordCount核心模块封装\n *添加WordCountCore类提供统计字符数、单词数、最多的10个单词及其词频功能\n"",""6"":"" - 将单词统计修改为相同单词也计入总数\n"",""7"":"" - 实现单词排序功能\n * 单词排序按照单词频数降序、字典序升序排列\n * 修复单词总数统计的反向统计bug\n"",""8"":"" - 实现统计所有合法单词频数功能\n * 统计合法单词的出现次数总和，统计时不区分大小写\n"",""9"":"" - 实现统计各个单词独立的出现频数功能\n * 统计单词各自出现的次数，单词不区分大小写\n"",""10"":"" - 实现从文件中抽离单词功能\n * 为WordProcessor添加函数，将文件中的字符组成仅含字母和数字的字符串\n""}"
221801234,1234,100,10,272,10,299,10,304,10,260,10,297,10,296,10,202,10,247,10,310,10,322,30,10,3,43,21,"{""11"":""改bug\n"",""12"":""seventh commit\n"",""13"":""Update README.md\n"",""14"":""Update README.md\n"",""15"":""Update WordCount.java\n"",""16"":""fifth commit\n"",""17"":""Update WordCount.java\n"",""18"":""third commit\n"",""19"":""second commit\n"",""0"":""Update CountCore.java\n"",""1"":""bug修改\n"",""2"":""bug修改\n"",""3"":""排除\\r\n"",""4"":""bug修改\n"",""5"":""输出方式修改\n"",""6"":""性能优化\n"",""7"":""完善README\n"",""8"":""异常处理\n"",""9"":""Update CountCore.java\n"",""20"":""first commit\n"",""10"":""排序算法改进\n""}"
221801222,1222,100,10,293,10,358,10,378,10,255,10,342,10,374,10,189,10,311,10,380,10,375,30,10,3,43,15,"{""11"":""Revert \""增加:WordCount类  删除：gitIgnore文件\""\n\nThis reverts commit 40d5d260c8049ea7efef38872bd983a1793696eb.\n"",""12"":""增加:WordCount类  删除：gitIgnore文件\n\n新增WordCount类实现控制台控制输入，完成将文件内容转为字符串。\n之前不太清楚gitignore文件存放位置，将其传到commit了，现删除。\n"",""13"":""增加代码规约\n\n增加代码规约\n"",""14"":""增加个人文件夹\n\n增加了个人文件夹，以及内部目录结构\n"",""0"":""增加:编辑README 修改:输出文件中的格式\n\n增加:编辑README 修改:输出文件中的格式\n"",""1"":""修改：设置了文件输出编码为utf-8\n\n修改：设置了文件输出编码为utf-8\n"",""2"":""更新：修改bug\n\n更新：修改bug\n"",""3"":""更新：设置读取文件编码方式为utf-8\n\n更新：设置读取文件编码方式为utf-8\n"",""4"":""更新：将main函数细化成多个函数   增加：输出函数执行时间\n\n更新：将main函数细化成多个函数   增加：输出函数执行时间\n"",""5"":""增加：WordCount类输出结果到文件  修改：Lib类map排序\n\n增加：WordCount类输出结果到文件  修改：Lib类map排序，之前未考虑值相同时按ke的字典序\n"",""6"":""修改：改bug\n\n改bug\n"",""7"":""增加：返回总字符数函数\n\n增加：返回总字符数函数\n"",""8"":""增加：返回words和频率最高单词\n\n增加：返回words和频率最高单词\n"",""9"":""增加：Lib类\n\n增加Lib类，并完成构造函数和统计行数函数\n"",""10"":""Revert \""Revert \""增加:WordCount类  删除：gitIgnore文件\""\""\n\nThis reverts commit d77428f9367ca7f15df2b910e9d7ea631a6b7f1c.\n""}"
221801427,1427,82,8,312,8,393,8,398,8,284,8,393,8,396,10,227,8,308,8,457,8,383,24.6,0,3,27.6,27,"{""22"":""建立了基本架构\n"",""23"":""Update codestyle.md\n\n格式错误修正\n"",""24"":""Update codestyle.md\n\n制定了代码规范\n"",""25"":""commit test 2\n"",""26"":""commit test\n"",""10"":""优化了性能：采用StringTokenizer分割字符串，采用多线程；删去了不必要的导入。\n"",""11"":""读取文件的方式改用NIO以提升性能\n"",""12"":""提取了读取字符串并拆分为有效单词Map的方法，提高效率\n"",""13"":""输出格式，细节修改\n"",""14"":""修改了读取算法与计算行数算法以适应读取\\r的需要\n"",""15"":""改进了部分算法效率\n"",""16"":""改用StringBuilder提高性能\n"",""17"":""修改了一些代码规范上的细节\n"",""18"":""增加了统计词频功能，输出功能也完整了\n"",""19"":""增加了计算有效单词总数的功能\n"",""0"":""还原为截止前提交的代码\n"",""1"":""删除了作业截止后误操作提交的改动，程序已不包含截至之后commit的代码，望助教海涵。\n"",""2"":""Update FileReader.java\n"",""3"":""Merge branch 'main' of https://github.com/raiLGun2000/PersonalProject-Java into main\n"",""4"":""采用了更高效的分析有效单词的方法\n"",""5"":""Update FilePrinter.java\n"",""6"":""Delete output.txt"",""7"":""Delete input.txt"",""8"":""Update README.md\n"",""9"":""合并计算字符数与单词数的类，添加注释与README文本，更改编码模式为UTF-8解决提交时的乱码问题\n"",""20"":""重写了算法实现，增加计算行数功能\n"",""21"":""实现字符计算，以及对应的文件读写功能\n""}"
221801438,1438,80,8,9436,8,21159,8,30971,8,5966,8,23893,8,33535,8,1181,8,6288,8,31876,8,33797,24,0,3,27,21,"{""11"":""commit 10\n"",""12"":""commit 9\n"",""13"":""commit 8\n"",""14"":""Commit 7\n"",""15"":""commit 6\n"",""16"":""commit 5\n"",""17"":""commit 4\n"",""18"":""commit 3\n"",""19"":""commit 2\n"",""0"":""Update README.md"",""1"":""Merge branch 'main' of https://github.com/Chutiiing/PersonalProject-Java into main\n"",""2"":""Commit 14 ：输出结果补充添加空格\n"",""3"":""Update README.md"",""4"":""Merge branch 'main' of https://github.com/Chutiiing/PersonalProject-Java into main\n"",""5"":""commit 13\n"",""6"":""Delete README.md"",""7"":""Delete codestyle.md"",""8"":""Commit 13\n"",""9"":""commit 12\n"",""20"":""commit 1\n"",""10"":""commit 11\n""}"
221801321,1321,80,8,1207,8,1517,8,1746,8,920,8,1621,8,1857,8,483,8,965,8,1781,8,2014,24,0,3,27,12,"{""0"":""增加抛出异常的操作\n"",""11"":""初始化学号命名的文件夹\n"",""1"":""更新README文档\n"",""2"":""增加输出结果到文件功能\n"",""3"":""解决了单词存入Map，单词前会多一个'\\n'的bug\n"",""4"":""增加统计文件中各单词的出现次数的功能\n"",""5"":""增加统计单词总数功能\n"",""6"":""统计文件的有效行数\n"",""7"":""增加处理文件内容的类，实现统计总字符数\n"",""8"":""可读入命令行参数\n"",""9"":""更新具体代码规范\n"",""10"":""更新具体代码规范\n""}"
221801226,1226,70,7,308,7,347,7,363,7,253,7,360,7,364,7,178,7,251,7,360,7,380,21,0,3,24,16,"{""11"":""second code commit and update README.md\n"",""12"":""first code commit and add .gitignore\n"",""13"":""Update codestyle.md\n\nversion 1"",""14"":""Create codestyle.md"",""15"":""Create README.md"",""0"":""thirteen code commit and update README.md\n"",""1"":""twelfth code commit and update README.md\n"",""2"":""eleventh code commit and update README.md\n"",""3"":""tenth code commit and update README.md\n"",""4"":""ninth code commit and update README.md\n"",""5"":""eighth code commit and update README.md,codestyle.md\n"",""6"":""seventh code commit and update README.md\n"",""7"":""sixth code commit and update README.md\n"",""8"":""fifth code commit and update README.md\n"",""9"":""fourth code commit and update README.md\n"",""10"":""third code commit and update README.md\n""}"
